mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
altbeas2       machine=altbeas2         RGB565
altbeast       machine=altbeast         RGB565
amatelas       machine=amazon           RGB565
amazon         machine=amazon           RGB565
ambush         machine=ambush           RGB565
ambusht        machine=ambush           RGB565
amerdart       machine=amerdart         RGB565
amidar         machine=amidar           RGB565
amidaro        machine=amidar           RGB565
amidars        machine=scramble         RGB565
amidaru        machine=amidar           RGB565
amigo          machine=amidar           RGB565
amspdwy        machine=amspdwy          RGB565
amspdwya       machine=amspdwy          RGB565
androdun       machine=neogeo           RGB565
andromed       machine=skychut          RGB565
angelkds       machine=angelkds         RGB565
anteater       machine=type1            RGB565
aodk           machine=neogeo           RGB565
aof            machine=neogeo           RGB565
aof2           machine=neogeo           RGB565
aof3           machine=neogeo           RGB565
apparel        machine=apparel          RGB565
appoooh        machine=appoooh          RGB565
aquajack       machine=aquajack         RGB565
aquajckj       machine=aquajack         RGB565
aquarium       machine=aquarium         RGB565
aquarush       machine=coh700           RGB565
arabian        machine=arabian          RGB565
arabiana       machine=arabian          RGB565
arbalest       machine=metafox          RGB565
arcadia        machine=nyny             RGB565
archriv2       machine=archrivl         RGB565
archrivl       machine=archrivl         RGB565
area51         machine=cojag68k         RGB565
area51mx       machine=cojag68k         RGB565
argus          machine=argus            RGB565
arkangc        machine=bootleg          RGB565
arkanoid       machine=arkanoid         RGB565
arkarea        machine=mnight           RGB565
arkatayt       machine=bootleg          RGB565
arkatour       machine=arkanoid         RGB565
arkbl2         machine=arkanoid         RGB565
arkbl3         machine=bootleg          RGB565
arkbloc2       machine=bootleg          RGB565
arkblock       machine=bootleg          RGB565
arknid2j       machine=arknoid2         RGB565
arknid2u       machine=arknoid2         RGB565
arknoid2       machine=arknoid2         RGB565
arknoidj       machine=arkanoid         RGB565
arknoidu       machine=arkanoid         RGB565
arknoiuo       machine=arkanoid         RGB565
arlingtn       machine=arlingtn         RGB565
armedf         machine=armedf           RGB565
armorca2       machine=armorcar         RGB565
armorcar       machine=armorcar         RGB565
armwrest       machine=armwrest         RGB565
ashnojoe       machine=ashnojoe         RGB565
ashura         machine=ashura           RGB565
ashurau        machine=ashura           RGB565
aso            machine=aso              RGB565
astinvad       machine=astinvad         RGB565
astorm         machine=astorm           RGB565
astorm2p       machine=astorm           RGB565
astormbl       machine=astorm           RGB565
astrob         machine=astrob           RGB565
astrob1        machine=astrob           RGB565
astrob2        machine=astrob           RGB565
astrof         machine=astrof           RGB565
astrof2        machine=astrof           RGB565
astrof3        machine=astrof           RGB565
astrofl        machine=segae            RGB565
astyanax       machine=system_A         RGB565
asuka          machine=asuka            RGB565
asurabld       machine=fuuki32          RGB565
asylum         machine=wsf              RGB565
atarifb        machine=atarifb          RGB565
atarifb1       machine=atarifb          RGB565
atarifb4       machine=atarifb4         RGB565
ataxx          machine=ataxx            RGB565
ataxxa         machine=ataxx            RGB565
ataxxj         machine=ataxx            RGB565
atehate        machine=atehate          RGB565
atetckt2       machine=atetris          RGB565
atetcktl       machine=atetris          RGB565
atetris        machine=atetris          RGB565
atetrisa       machine=atetris          RGB565
atetrisb       machine=atetris          RGB565
athena         machine=athena           RGB565
atlantis       machine=scramble         RGB565
atlants2       machine=scramble         RGB565
atomboy        machine=wilytowr         RGB565
atomicp        machine=atomicp          RGB565
atompunk       machine=bbmanw           RGB565
atpsx          machine=zn               RGB565
aurail         machine=aurail           RGB565
auraila        machine=aurail           RGB565
av2mj1bb       machine=av2mj1bb         RGB565
av2mj2rg       machine=av2mj2rg         RGB565
avalnche       machine=avalnche         RGB565
avenger2       machine=avengers         RGB565
avengers       machine=avengers         RGB565
avspirit       machine=system_B         RGB565
azurian        machine=galaxian         RGB565
bagman         machine=bagman           RGB565
bagmanmc       machine=bagmanmc         RGB565
bagmans        machine=bagman           RGB565
bagmans2       machine=bagman           RGB565
bagnard        machine=bagman           RGB565
bakatono       machine=neogeo           RGB565
bakubrkr       machine=bakubrkr         RGB565
bakuhatu       machine=bakuhatu         RGB565
balcube        machine=balcube          RGB565
ballbomb       machine=ballbomb         RGB565
ballbros       machine=ballbros         RGB565
balonfgt       machine=vsdual           RGB565
baluba         machine=senjyo           RGB565
bananadr       machine=bananadr         RGB565
bandido        machine=sheriff          RGB565
bang           machine=bang             RGB565
bangball       machine=bangball         RGB565
bangbead       machine=neogeo           RGB565
bangbedp       machine=neogeo           RGB565
bangj          machine=bang             RGB565
bankp          machine=bankp            RGB565
baraduka       machine=baraduke         RGB565
baraduke       machine=baraduke         RGB565
barricad       machine=brickyrd         RGB565
basebal2       machine=leland           RGB565
batman2        machine=batman2          RGB565
batrider       machine=batrider         RGB565
batridra       machine=batrider         RGB565
batridrk       machine=batrider         RGB565
batsugun       machine=batsugun         RGB565
battlan2       machine=battlane         RGB565
battlan3       machine=battlane         RGB565
battlane       machine=battlane         RGB565
battlcry       machine=reikaids         RGB565
battleg        machine=battleg          RGB565
battlega       machine=battleg          RGB565
battlegb       machine=battleg          RGB565
battlera       machine=battlera         RGB565
battles        machine=battles          RGB565
battlex        machine=battlex          RGB565
battlntj       machine=battlnts         RGB565
battlnts       machine=battlnts         RGB565
battroad       machine=battroad         RGB565
batugnsp       machine=batsugun         RGB565
batwings       machine=bwing            RGB565
bayrouta       machine=bayroute         RGB565
bayroute       machine=bayroute         RGB565
bayrtbl1       machine=bayroute         RGB565
bayrtbl2       machine=bayroute         RGB565
bbakradu       machine=bbakraid         RGB565
bbakraid       machine=bbakraid         RGB565
bballs         machine=bballs           RGB565
bbmanw         machine=bbmanw           RGB565
bbmanwj        machine=bombrman         RGB565
bbonk          machine=bbonk            RGB565
bbprot         machine=bbprot           RGB565
bbros          machine=pang             RGB565
bbusters       machine=bbusters         RGB565
bchopper       machine=m72              RGB565
bcrusher       machine=kncljoe          RGB565
bcruzm12       machine=bcruzm12         RGB565
bcstry         machine=htchctch         RGB565
beaminv        machine=beaminv          RGB565
beastf         machine=theglobp         RGB565
beastrzb       machine=zn               RGB565
beastrzr       machine=zn               RGB565
beezer         machine=beezer           RGB565
beezer1        machine=beezer           RGB565
benberob       machine=benberob         RGB565
berlwall       machine=berlwall         RGB565
berlwalt       machine=berlwall         RGB565
bermudaa       machine=bermudat         RGB565
bermudao       machine=bermudat         RGB565
bermudat       machine=bermudat         RGB565
berzerk        machine=berzerk          RGB565
berzerk1       machine=berzerk          RGB565
bigbang        machine=tdragon2         RGB565
bigbucks       machine=bigbucks         RGB565
bigevglf       machine=bigevglf         RGB565
bigkarnk       machine=bigkarnk         RGB565
bigprowr       machine=tagteam          RGB565
bigrun         machine=bigrun           RGB565
bigstrik       machine=system_C         RGB565
bigstrkb       machine=bigstrkb         RGB565
bigtwin        machine=bigtwin          RGB565
billiard       machine=hustler          RGB565
bioatack       machine=nomcu            RGB565
biofreak       machine=seattle150       RGB565
biomtoy        machine=maniacsq         RGB565
bioship        machine=bioship          RGB565
bjourney       machine=neogeo           RGB565
bjtwin         machine=bjtwin           RGB565
bking          machine=bking2           RGB565
bking2         machine=bking2           RGB565
bking3         machine=bking2           RGB565
bkrtmaq        machine=namcona1w        RGB565
bktigerb       machine=blktiger         RGB565
bladestl       machine=bladestl         RGB565
bladstle       machine=bladestl         RGB565
blandia        machine=blandia          RGB565
blandiap       machine=blandiap         RGB565
blasted        machine=xenophob         RGB565
blaster        machine=blaster          RGB565
blastkit       machine=blaster          RGB565
blasto         machine=blasto           RGB565
blazeon        machine=blazeon          RGB565
blazstar       machine=neogeo           RGB565
blckgalb       machine=blockgal         RGB565
blckout2       machine=blockout         RGB565
blckoutj       machine=blockout         RGB565
bldwolf        machine=battlera         RGB565
blitz          machine=seattle150       RGB565
blitz2k        machine=seattle150       RGB565
blitz99        machine=seattle150       RGB565
blkbustr       machine=mrjong           RGB565
blkdrgnb       machine=blktiger         RGB565
blkdrgon       machine=blktiger         RGB565
blkhearj       machine=macross          RGB565
blkheart       machine=macross          RGB565
blkhole        machine=galaxian         RGB565
blkpnthr       machine=blkpnthr         RGB565
blktiger       machine=blktiger         RGB565
blmbycar       machine=blmbycar         RGB565
blmbycau       machine=blmbycar         RGB565
block          machine=pang             RGB565
blocka         machine=pang             RGB565
blockade       machine=blockade         RGB565
blockbl        machine=pang             RGB565
blockcar       machine=blockcar         RGB565
blocken        machine=blocken          RGB565
blockgal       machine=blockgal         RGB565
blockhl        machine=blockhl          RGB565
blockj         machine=pang             RGB565
blockout       machine=blockout         RGB565
bloodbro       machine=bloodbro         RGB565
bloods11       machine=bloodstm         RGB565
bloods21       machine=bloodstm         RGB565
bloods22       machine=bloodstm         RGB565
bloodstm       machine=bloodstm         RGB565
bloodwar       machine=bloodwar         RGB565
bloxeed        machine=shdancer         RGB565
bloxeedc       machine=segac            RGB565
blsthead       machine=blstroid         RGB565
blstroi2       machine=blstroid         RGB565
blstroi3       machine=blstroid         RGB565
blstroid       machine=blstroid         RGB565
blstroig       machine=blstroid         RGB565
blswhstl       machine=detatwin         RGB565
bluehawk       machine=bluehawk         RGB565
bluehawn       machine=bluehawk         RGB565
blueprnj       machine=blueprnt         RGB565
blueprnt       machine=blueprnt         RGB565
blueshrk       machine=blueshrk         RGB565
blzntrnd       machine=blzntrnd         RGB565
bmaster        machine=nonraster        RGB565
bnglngby       machine=vsnes            RGB565
bnj            machine=bnj              RGB565
bnzabros       machine=system24         RGB565
boblbobl       machine=boblbobl         RGB565
bodyslam       machine=bodyslam         RGB565
bogeyman       machine=bogeyman         RGB565
boggy84        machine=jumpcoas         RGB565
bombbee        machine=bombbee          RGB565
bombjac2       machine=bombjack         RGB565
bombjack       machine=bombjack         RGB565
bombrman       machine=bombrman         RGB565
bonkadv        machine=bonkadv          RGB565
bonzeadu       machine=bonzeadv         RGB565
bonzeadv       machine=bonzeadv         RGB565
boomrang       machine=boomrang         RGB565
bootcamp       machine=combasc          RGB565
boothill       machine=boothill         RGB565
borench        machine=segac2           RGB565
bosco          machine=bosco            RGB565
boscomd        machine=bosco            RGB565
boscomdo       machine=bosco            RGB565
boscoo         machine=bosco            RGB565
boscoo2        machine=bosco            RGB565
bottom9        machine=bottom9          RGB565
bottom9n       machine=bottom9          RGB565
bouldash       machine=slyspy           RGB565
bouldshj       machine=slyspy           RGB565
bounty         machine=percuss          RGB565
bowler         machine=bowler           RGB565
bowlrama       machine=bowlrama         RGB565
boxer          machine=boxer            RGB565
brain          machine=brain            RGB565
brapboys       machine=shogwarr         RGB565
brdrlinb       machine=4ports           RGB565
breakers       machine=neogeo           RGB565
breakrev       machine=neogeo           RGB565
breywood       machine=shackled         RGB565
brickyrd       machine=brickyrd         RGB565
brickzn        machine=brickzn          RGB565
brickzn3       machine=brickzn          RGB565
brix           machine=jack             RGB565
brkthru        machine=brkthru          RGB565
brkthruj       machine=brkthru          RGB565
brubber        machine=bnj              RGB565
brutforc       machine=wsf              RGB565
brvblade       machine=zn               RGB565
bshark         machine=bshark           RGB565
bsharkj        machine=bshark           RGB565
bsktball       machine=bsktball         RGB565
bssoccer       machine=bssoccer         RGB565
bstars         machine=neogeo           RGB565
bstars2        machine=neogeo           RGB565
btime          machine=btime            RGB565
btime2         machine=btime            RGB565
btimem         machine=btime            RGB565
btlecity       machine=vsnes            RGB565
btlfield       machine=alpha68k_II      RGB565
btlkroad       machine=gunbird          RGB565
btoads         machine=btoads           RGB565
bubbles        machine=williams         RGB565
bubblesp       machine=williams         RGB565
bubblesr       machine=williams         RGB565
bubbobr1       machine=bublbobl         RGB565
bubl2000       machine=bubl2000         RGB565
bublbobl       machine=bublbobl         RGB565
bublbobr       machine=bublbobl         RGB565
buckrog        machine=buckrog          RGB565
buckrogn       machine=buckrog          RGB565
buggychl       machine=buggychl         RGB565
buggycht       machine=buggychl         RGB565
bullfgt        machine=system1          RGB565
bullfgtr       machine=equites          RGB565
buraiken       machine=avengers         RGB565
burglarx       machine=burglarx         RGB565
burningf       machine=neogeo           RGB565
burningh       machine=neogeo           RGB565
butasan        machine=butasan          RGB565
bwcasino       machine=acitya           RGB565
bwing          machine=bwing            RGB565
bwings         machine=bwing            RGB565
cabal          machine=cabal            RGB565
cabal2         machine=cabal            RGB565
cabalbl        machine=cabalbl          RGB565
cabaret        machine=cabaret          RGB565
cachat         machine=cachat           RGB565
cadash         machine=cadash           RGB565
cadashf        machine=cadash           RGB565
cadashi        machine=cadash           RGB565
cadashj        machine=cadash           RGB565
cadashu        machine=cadash           RGB565
calibr50       machine=calibr50         RGB565
calipso        machine=calipso          RGB565
calspeed       machine=seattle150       RGB565
cameltrj       machine=cameltry         RGB565
cameltry       machine=cameltry         RGB565
camltrua       machine=camltrua         RGB565
cannball       machine=yunsung8         RGB565
cannonb        machine=cannonb          RGB565
canyon         machine=canyon           RGB565
canyonp        machine=canyon           RGB565
capbowl        machine=capbowl          RGB565
capbowl2       machine=capbowl          RGB565
capitol        machine=phoenix          RGB565
caractn        machine=bnj              RGB565
carjmbre       machine=carjmbre         RGB565
carnival       machine=carnival         RGB565
carnvckt       machine=carnival         RGB565
carpolo        machine=carpolo          RGB565
castfant       machine=castfant         RGB565
catapult       machine=epos             RGB565
catch22        machine=exidy440         RGB565
cavelon        machine=cavelon          RGB565
cavenger       machine=ladybug          RGB565
cbasebal       machine=cbasebal         RGB565
cbdash         machine=cbdash           RGB565
cbnj           machine=cbnj             RGB565
cbtime         machine=cbtime           RGB565
cburnrb2       machine=cburnrub         RGB565
cburnrub       machine=cburnrub         RGB565
ccasino        machine=ccasino          RGB565
ccastle2       machine=ccastles         RGB565
ccastle3       machine=ccastles         RGB565
ccastles       machine=ccastles         RGB565
ccboot         machine=cclimber         RGB565
ccboot2        machine=cclimber         RGB565
cclimber       machine=cclimber         RGB565
cclimbr2       machine=cclimbr2         RGB565
cclimbrj       machine=cclimber         RGB565
cdiscon1       machine=cdiscon1         RGB565
centipb2       machine=centipb2         RGB565
centipd2       machine=centiped         RGB565
centipdb       machine=centipdb         RGB565
centiped       machine=centiped         RGB565
centtime       machine=centiped         RGB565
cerberus       machine=leland           RGB565
cexplore       machine=cexplore         RGB565
cfghtice       machine=cfghtice         RGB565
cflyball       machine=decocass         RGB565
cgangpzj       machine=namcona1w        RGB565
cgangpzl       machine=namcona1w        RGB565
cgraplop       machine=cgraplop         RGB565
cgraplp2       machine=cgraplop         RGB565
chaknpop       machine=chaknpop         RGB565
challeng       machine=gameplan         RGB565
chameleo       machine=chameleo         RGB565
champbas       machine=champbas         RGB565
champbb2       machine=champbas         RGB565
champbbj       machine=champbas         RGB565
champbja       machine=champbas         RGB565
champwr        machine=champwr          RGB565
champwrj       machine=champwr          RGB565
champwru       machine=champwr          RGB565
changes        machine=changes          RGB565
chasehq        machine=chasehq          RGB565
chasehqj       machine=chasehq          RGB565
chboxing       machine=sg1000a          RGB565
checkmaj       machine=checkmaj         RGB565
checkman       machine=checkman         RGB565
checkmat       machine=checkmat         RGB565
cheekyms       machine=cheekyms         RGB565
cheesech       machine=artmagic         RGB565
chelnov        machine=karnov           RGB565
chelnovj       machine=karnov           RGB565
chelnovu       machine=karnov           RGB565
cheyenne       machine=exidy440         RGB565
chiller        machine=exidy440         RGB565
chimerab       machine=system_C         RGB565
chinagat       machine=chinagat         RGB565
chinatwn       machine=chinatwn         RGB565
chindrag       machine=chindrag         RGB565
chinher2       machine=chinhero         RGB565
chinhero       machine=chinhero         RGB565
chinmoku       machine=mjnanpas         RGB565
chopper        machine=chopper1         RGB565
choppera       machine=chopper1         RGB565
chopperb       machine=chopper1         RGB565
chplft         machine=chplft           RGB565
chplftb        machine=chplft           RGB565
chplftbl       machine=chplft           RGB565
chqflag        machine=chqflag          RGB565
chqflagj       machine=chqflag          RGB565
chukatai       machine=tnzs             RGB565
chukataj       machine=tnzs             RGB565
chukatau       machine=tnzs             RGB565
chwrestl       machine=sg1000a          RGB565
chwy           machine=decocass         RGB565
circus         machine=circus           RGB565
circusc        machine=circusc          RGB565
circusc2       machine=circusc          RGB565
circuscc       machine=circusc          RGB565
circusce       machine=circusc          RGB565
cischeat       machine=cischeat         RGB565
citybmrj       machine=citybomb         RGB565
citybomb       machine=citybomb         RGB565
citycon        machine=citycon          RGB565
citycona       machine=citycon          RGB565
citylove       machine=mbmj_h12bit      RGB565
ckong          machine=cclimber         RGB565
ckonga         machine=cclimber         RGB565
ckongalc       machine=cclimber         RGB565
ckongjeu       machine=cclimber         RGB565
ckongo         machine=cclimber         RGB565
ckongs         machine=ckongs           RGB565
clapapa        machine=clapapa          RGB565
clapapa2       machine=clapapa          RGB565
claypign       machine=exidy440         RGB565
clayshoo       machine=clayshoo         RGB565
clbowl         machine=capbowl          RGB565
cloak          machine=cloak            RGB565
cloakfr        machine=cloak            RGB565
cloakgr        machine=cloak            RGB565
cloaksp        machine=cloak            RGB565
clocknch       machine=clocknch         RGB565
cloud9         machine=cloud9           RGB565
clowns         machine=clowns           RGB565
clowns1        machine=clowns           RGB565
clshroad       machine=clshroad         RGB565
cltchitr       machine=shdancer         RGB565
club90s        machine=mjnanpas         RGB565
club90sa       machine=mjnanpas         RGB565
cluckypo       machine=cluckypo         RGB565
cluclu         machine=vsnes            RGB565
cmehyou        machine=cmehyou          RGB565
cmissnx        machine=cmissnx          RGB565
cnights2       machine=cnightst         RGB565
cnightst       machine=cnightst         RGB565
cobracmj       machine=cobracom         RGB565
cobracom       machine=cobracom         RGB565
colony7        machine=defender         RGB565
colony7a       machine=defender         RGB565
columns        machine=segac            RGB565
columns2       machine=segac            RGB565
columnsj       machine=segac            RGB565
combasc        machine=combasc          RGB565
combascb       machine=combascb         RGB565
combascj       machine=combasc          RGB565
combasct       machine=combasc          RGB565
combat         machine=exidy440         RGB565
commandj       machine=commando         RGB565
commando       machine=commando         RGB565
commandu       machine=commando         RGB565
commsega       machine=commsega         RGB565
comotion       machine=comotion         RGB565
compgolf       machine=compgolf         RGB565
complexx       machine=qix              RGB565
condor         machine=condor           RGB565
congo          machine=congo            RGB565
contcirc       machine=contcirc         RGB565
contcrcu       machine=contcirc         RGB565
contra         machine=contra           RGB565
contrab        machine=contra           RGB565
contraj        machine=contra           RGB565
contrajb       machine=contra           RGB565
cookbib2       machine=hyperpac         RGB565
cookrace       machine=cookrace         RGB565
cop01          machine=cop01            RGB565
cop01a         machine=cop01            RGB565
copsnrob       machine=copsnrob         RGB565
cosmccop       machine=kengo            RGB565
cosmica        machine=cosmica          RGB565
cosmica2       machine=cosmica          RGB565
cosmicg        machine=cosmicg          RGB565
cosmicmo       machine=invaders         RGB565
cosmo          machine=cosmo            RGB565
cosmos         machine=cvs              RGB565
cotton         machine=s16dummy         RGB565
cottona        machine=s16dummy         RGB565
cottong        machine=locomotn         RGB565
countrnb       machine=freekckb         RGB565
countrun       machine=freekckb         RGB565
countryc       machine=athena           RGB565
cppicf         machine=cppicf           RGB565
cppicf2        machine=cppicf           RGB565
cprobowl       machine=cprobowl         RGB565
cprogolf       machine=cprogolf         RGB565
cprosocc       machine=cprosocc         RGB565
cptennis       machine=cptennis         RGB565
cpzn1          machine=zn               RGB565
cpzn2          machine=zn               RGB565
cracksht       machine=exidy440         RGB565
crash          machine=crash            RGB565
crater         machine=crater           RGB565
crazyblk       machine=mrjong           RGB565
crazycop       machine=gbusters         RGB565
crbalon2       machine=crbaloon         RGB565
crbaloon       machine=crbaloon         RGB565
crgolf         machine=crgolf           RGB565
crgolfa        machine=crgolf           RGB565
crgolfb        machine=crgolf           RGB565
crgolfc        machine=crgolf           RGB565
crimec         machine=crimec           RGB565
crimecj        machine=crimec           RGB565
crimecu        machine=crimec           RGB565
crimfght       machine=crimfght         RGB565
crimfgt2       machine=crimfght         RGB565
crimfgtj       machine=crimfght         RGB565
crkdown        machine=system24         RGB565
croquis        machine=deniam16b        RGB565
crospang       machine=crospang         RGB565
crossbow       machine=exidy440         RGB565
crshrac2       machine=crshrace         RGB565
crshrace       machine=crshrace         RGB565
crsword        machine=neogeo           RGB565
cruisin        machine=citycon          RGB565
crush          machine=pacman           RGB565
crush2         machine=pacman           RGB565
crush3         machine=pacman           RGB565
crusnw13       machine=midvunit         RGB565
crusnw20       machine=midvunit         RGB565
crusnwld       machine=midvunit         RGB565
cryptklr       machine=konamigq         RGB565
crystal2       machine=crystalg         RGB565
crystalg       machine=crystalg         RGB565
crzrally       machine=crzrally         RGB565
cscrtry        machine=cscrtry          RGB565
cscrtry2       machine=cscrtry          RGB565
cshift         machine=balsente         RGB565
cshooter       machine=cshooter         RGB565
cshootre       machine=cshooter         RGB565
csilver        machine=csilver          RGB565
cstlevna       machine=vsnes            RGB565
csuperas       machine=csuperas         RGB565
csweetht       machine=cdiscon1         RGB565
cterrani       machine=cterrani         RGB565
ctisland       machine=ctisland         RGB565
ctislnd2       machine=ctisland         RGB565
ctislnd3       machine=ctisland         RGB565
ctomaday       machine=neogeo           RGB565
ctornado       machine=ctornado         RGB565
ctribe         machine=ctribe           RGB565
ctribeb        machine=ctribe           RGB565
ctsttape       machine=ctsttape         RGB565
cubybop        machine=cachat           RGB565
cuebrckj       machine=cuebrckj         RGB565
cuebrick       machine=cuebrick         RGB565
cupsoc         machine=cupsoc           RGB565
cupsoc2        machine=cupsoc           RGB565
cupsocbl       machine=cupsocbl         RGB565
curvebal       machine=gottlieb         RGB565
cutieq         machine=bombbee          RGB565
cvs            machine=cvs              RGB565
cworld         machine=pang             RGB565
cybattlr       machine=system_C         RGB565
cyberb21       machine=cyberb2p         RGB565
cyberb22       machine=cyberb2p         RGB565
cyberb23       machine=cyberb2p         RGB565
cyberb2p       machine=cyberb2p         RGB565
cyberlip       machine=neogeo           RGB565
cyclshtg       machine=cyclshtg         RGB565
cyvern         machine=skns             RGB565
czeroize       machine=decocass         RGB565
daioh          machine=daioh            RGB565
daireika       machine=jalmah           RGB565
dairesya       machine=ironhors         RGB565
daisenpu       machine=daisenpu         RGB565
daitorid       machine=daitorid         RGB565
daiyogen       machine=fromance         RGB565
dakkochn       machine=chplft           RGB565
danceyes       machine=coh110_danceyes  RGB565
dangar         machine=galivan          RGB565
dangar2        machine=galivan          RGB565
dangarb        machine=galivan          RGB565
dangerz        machine=leland           RGB565
darius         machine=darius           RGB565
darius2        machine=darius2          RGB565
darius2d       machine=darius2d         RGB565
dariuse        machine=darius           RGB565
dariusj        machine=darius           RGB565
dariuso        machine=darius           RGB565
darkadv        machine=heavysync        RGB565
darkplnt       machine=darkplnt         RGB565
