mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
005            machine=005              RGB565
1942           machine=1942             RGB565
1942a          machine=1942             RGB565
1942b          machine=1942             RGB565
1943           machine=1943             RGB565
1943j          machine=1943             RGB565
1943kai        machine=1943             RGB565
2020bb         machine=neogeo           RGB565
2020bbh        machine=neogeo           RGB565
280zzzap       machine=280zzzap         RGB565
3countb        machine=neogeo           RGB565
3in1semi       machine=hyperpac         RGB565
3kokushi       machine=3kokushi         RGB565
3stooges       machine=stooges          RGB565
40love         machine=40love           RGB565
4dwarrio       machine=system1          RGB565
4enraya        machine=4enraya          RGB565
4in1           machine=4in1             RGB565
4in1boot       machine=_4in1            RGB565
600            machine=amidar           RGB565
64streej       machine=system_C         RGB565
64street       machine=system_C         RGB565
7jigen         machine=nanajign         RGB565
7toitsu        machine=mgakuen          RGB565
800fath        machine=mariner          RGB565
88games        machine=88games          RGB565
8ball          machine=cvs              RGB565
8ball1         machine=cvs              RGB565
8ballact       machine=eightact         RGB565
8ballat2       machine=eightact         RGB565
8bpm           machine=8bpm             RGB565
99lstwar       machine=sonofphx         RGB565
99lstwra       machine=sonofphx         RGB565
a51mxr3k       machine=r3knarrow        RGB565
aafb           machine=lelandi          RGB565
aafbb          machine=lelandi          RGB565
aafbc          machine=lelandi          RGB565
aafbd2p        machine=lelandi          RGB565
abaseb         machine=abaseb           RGB565
abaseb2        machine=abaseb           RGB565
aburner        machine=aburner          RGB565
aburner2       machine=aburner          RGB565
ace            machine=ace              RGB565
aceattac       machine=shdancer         RGB565
acitya         machine=acitya           RGB565
acpsx          machine=zn               RGB565
acrobatm       machine=acrobatm         RGB565
actfanc1       machine=actfancr         RGB565
actfancj       machine=actfancr         RGB565
actfancr       machine=actfancr         RGB565
aeroboto       machine=formatz          RGB565
aerofgt        machine=aerofgt          RGB565
aerofgtb       machine=aerofgtb         RGB565
aerofgtc       machine=aerofgtb         RGB565
afighter       machine=s16dummy         RGB565
agallet        machine=sailormn         RGB565
ainferno       machine=airsys           RGB565
airbustj       machine=airbustr         RGB565
airbustr       machine=airbustr         RGB565
airduel        machine=m72              RGB565
airraid        machine=cshooter         RGB565
airwolf        machine=srdmissn         RGB565
ajax           machine=ajax             RGB565
ajaxj          machine=ajax             RGB565
alcon          machine=slapfigh         RGB565
alexkida       machine=alexkidd         RGB565
alexkidd       machine=alexkidd         RGB565
alibaba        machine=alibaba          RGB565
alieninv       machine=invaders         RGB565
aliens         machine=aliens           RGB565
aliens2        machine=aliens           RGB565
aliensj        machine=aliens           RGB565
aliensu        machine=aliens           RGB565
aliensya       machine=aliensyn         RGB565
aliensyb       machine=aliensyn         RGB565
aliensyj       machine=aliensyn         RGB565
aliensyn       machine=aliensyn         RGB565
aligator       machine=alighunt         RGB565
aligatun       machine=alighunt         RGB565
alleymas       machine=leland           RGB565
alphaho        machine=invinco4         RGB565
alpham2        machine=neogeo           RGB565
alphaxz        machine=m660             RGB565
alpine         machine=nomcu            RGB565
alpinea        machine=nomcu            RGB565
