mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
  SINGLE - exactly 1 class-2 native rate  -> output AT that rate, resample-free
  MULTI  - >=2 distinct class-2 rates     -> some resample unavoidable
  SPECIAL- SAMPLES/CUSTOM only            -> rate is runtime/driver dependent

Rate policy: SINGLE games drive the output rate from the chip's own native
rate (read at runtime). All other buckets follow the user 'hint'.


######################################################################
# SINGLE - resample-free at chip native rate   (1240 games)
######################################################################
1941           machine=cps1             YM2151
1941j          machine=cps1             YM2151
3in1semi       machine=hyperpac         YM3812
3wonders       machine=cps1             YM2151
3wonderu       machine=cps1             YM2151
4in1boot       machine=_4in1            YM3812
64streej       machine=system_C         YM2151
64street       machine=system_C         YM2151
720            machine=720              YM2151
720g           machine=720              YM2151
720gr1         machine=720              YM2151
720r1          machine=720              YM2151
720r2          machine=720              YM2151
720r3          machine=720              YM2151
7jigen         machine=nanajign         YM2413
7toitsu        machine=mgakuen          YM2413
88games        machine=88games          YM2151
8bpm           machine=8bpm             NAMCO
aburner        machine=aburner          YM2151
aburner2       machine=aburner          YM2151
acitya         machine=acitya           NAMCO
actfanc1       machine=actfancr         YM3812
actfancj       machine=actfancr         YM3812
actfancr       machine=actfancr         YM3812
afighter       machine=s16dummy         YM2151
agallet        machine=sailormn         YM2151
airduel        machine=m72              YM2151
ajax           machine=ajax             YM2151
ajaxj          machine=ajax             YM2151
alexkida       machine=alexkidd         YM2151
alexkidd       machine=alexkidd         YM2151
alibaba        machine=alibaba          NAMCO
aliens         machine=aliens           YM2151
aliens2        machine=aliens           YM2151
aliensj        machine=aliens           YM2151
aliensu        machine=aliens           YM2151
aliensya       machine=aliensyn         YM2151
aliensyb       machine=aliensyn         YM2151
aliensyj       machine=aliensyn         YM2151
aliensyn       machine=aliensyn         YM2151
aligator       machine=alighunt         GAELCO_GAE1
aligatun       machine=alighunt         GAELCO_GAE1
