mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
altbeas2       machine=altbeas2         YM2151
altbeast       machine=altbeast         YM2151
amatelas       machine=amazon           YM3526
amazon         machine=amazon           YM3526
amspdwy        machine=amspdwy          YM2151
amspdwya       machine=amspdwy          YM2151
apb            machine=atarisy2         YM2151
apb1           machine=atarisy2         YM2151
apb2           machine=atarisy2         YM2151
apb3           machine=atarisy2         YM2151
apb4           machine=atarisy2         YM2151
apb5           machine=atarisy2         YM2151
apb6           machine=atarisy2         YM2151
apbf           machine=atarisy2         YM2151
apbg           machine=atarisy2         YM2151
aquarium       machine=aquarium         YM2151
area88         machine=cps1             YM2151
arkangc        machine=bootleg          YM3812
arkatayt       machine=bootleg          YM3812
arkbl3         machine=bootleg          YM3812
arkbloc2       machine=bootleg          YM3812
arkblock       machine=bootleg          YM3812
arlingtn       machine=arlingtn         YM3812
armedf         machine=armedf           YM3812
armwrest       machine=armwrest         VLM5030
aso            machine=aso              YM3526
asterix        machine=asterix          YM2151
astrxeaa       machine=asterix          YM2151
astrxeac       machine=asterix          YM2151
astyanax       machine=system_A         YM2151
asuka          machine=asuka            YM2151
asurabld       machine=fuuki32          YM2151
athena         machine=athena           YM3526
atomicp        machine=atomicp          YM2151
atompunk       machine=bbmanw           YM2151
aurail         machine=aurail           YM2151
auraila        machine=aurail           YM2151
av2mj1bb       machine=av2mj1bb         YM3812
av2mj2rg       machine=av2mj2rg         YM3812
avspirit       machine=system_B         YM2151
baddudes       machine=baddudes         YM3812
badlands       machine=badlands         YM2151
bakuhatu       machine=bakuhatu         YM3812
bananadr       machine=bananadr         YM3812
bang           machine=bang             GAELCO_CG1V
bangj          machine=bang             GAELCO_CG1V
baraduka       machine=baraduke         NAMCO
baraduke       machine=baraduke         NAMCO
batrider       machine=batrider         YM2151
batridra       machine=batrider         YM2151
batridrk       machine=batrider         YM2151
batsugun       machine=batsugun         YM2151
battlan2       machine=battlane         YM3526
battlan3       machine=battlane         YM3526
battlane       machine=battlane         YM3526
battleg        machine=battleg          YM2151
battlega       machine=battleg          YM2151
battlegb       machine=battleg          YM2151
battlntj       machine=battlnts         YM3812
battlnts       machine=battlnts         YM3812
batugnsp       machine=batsugun         YM2151
bayrouta       machine=bayroute         YM2151
bayroute       machine=bayroute         YM2151
bayrtbl1       machine=bayroute         YM2151
bayrtbl2       machine=bayroute         YM2151
bbmanw         machine=bbmanw           YM2151
bbmanwj        machine=bombrman         YM2151
bbros          machine=pang             YM2413
bchopper       machine=m72              YM2151
bcstry         machine=htchctch         YM2151
beastf         machine=theglobp         NAMCO
bigbucks       machine=bigbucks         NAMCO
bigkarnk       machine=bigkarnk         YM3812
bigrun         machine=bigrun           YM2151
bigstrik       machine=system_C         YM2151
bigstrkb       machine=bigstrkb         YM2151
bionicc        machine=bionicc          YM2151
bionicc2       machine=bionicc          YM2151
birdtry        machine=birdtry          YM3812
bkrtmaq        machine=namcona1w        NAMCONA
blazeon        machine=blazeon          YM2151
blckout2       machine=blockout         YM2151
blckoutj       machine=blockout         YM2151
blkpnthr       machine=blkpnthr         YM2151
block          machine=pang             YM2413
blocka         machine=pang             YM2413
blockbl        machine=pang             YM2413
blockhl        machine=blockhl          YM2151
blockj         machine=pang             YM2413
blockout       machine=blockout         YM2151
blswhstl       machine=detatwin         YM2151
bluehawk       machine=bluehawk         YM2151
bluehawn       machine=bluehawk         YM2151
bmaster        machine=nonraster        YM2151
bnzabros       machine=system24         YM2151
boblbobl       machine=boblbobl         YM3526
bodyslam       machine=bodyslam         YM2151
bombrman       machine=bombrman         YM2151
bouldash       machine=slyspy           YM3812
bouldshj       machine=slyspy           YM3812
breywood       machine=shackled         YM3526
brickzn        machine=brickzn          YM3812
brickzn3       machine=brickzn          YM3812
brkthru        machine=brkthru          YM3526
brkthruj       machine=brkthru          YM3526
bssoccer       machine=bssoccer         YM2151
btlfield       machine=alpha68k_II      YM2413
bubbobr1       machine=bublbobl         YM3526
bubl2000       machine=bubl2000         YM2151
bublbobl       machine=bublbobl         YM3526
bublbobr       machine=bublbobl         YM3526
bucky          machine=bucky            YM2151
buckyua        machine=bucky            YM2151
burglarx       machine=burglarx         YM3812
bwcasino       machine=acitya           NAMCO
cabal          machine=cabal            YM2151
cabal2         machine=cabal            YM2151
cabalbl        machine=cabalbl          YM2151
cabaret        machine=cabaret          YM2413
cadash         machine=cadash           YM2151
cadashf        machine=cadash           YM2151
cadashi        machine=cadash           YM2151
cadashj        machine=cadash           YM2151
cadashu        machine=cadash           YM2151
cannball       machine=yunsung8         YM3812
captaven       machine=captaven         YM2151
captavna       machine=captaven         YM2151
captavne       machine=captaven         YM2151
captavnj       machine=captaven         YM2151
captavnu       machine=captaven         YM2151
captavuu       machine=captaven         YM2151
captcomj       machine=cps1             YM2151
captcomm       machine=cps1             YM2151
captcomu       machine=cps1             YM2151
cawing         machine=cps1             YM2151
cawingj        machine=cps1             YM2151
cawingu        machine=cps1             YM2151
cbasebal       machine=cbasebal         YM2413
cbuster        machine=twocrude         YM2151
cbusterj       machine=twocrude         YM2151
cbusterw       machine=twocrude         YM2151
cclimbr2       machine=cclimbr2         YM3812
cgangpzj       machine=namcona1w        NAMCONA
cgangpzl       machine=namcona1w        NAMCONA
chelnov        machine=karnov           YM3526
chelnovj       machine=karnov           YM3526
chelnovu       machine=karnov           YM3526
chikij         machine=cps1             YM2151
chimerab       machine=system_C         YM2151
chinagat       machine=chinagat         YM2151
chinatwn       machine=chinatwn         YM2151
chinmoku       machine=mjnanpas         YM3812
chqflag        machine=chqflag          YM2151
chqflagj       machine=chqflag          YM2151
cischeat       machine=cischeat         YM2151
citybmrj       machine=citybomb         YM3812
citybomb       machine=citybomb         YM3812
club90s        machine=mjnanpas         YM3812
club90sa       machine=mjnanpas         YM3812
cmehyou        machine=cmehyou          YM3812
cninja         machine=cninja           YM2151
cninja0        machine=cninja           YM2151
cninjau        machine=cninja           YM2151
cobracmj       machine=cobracom         YM3812
cobracom       machine=cobracom         YM3812
contra         machine=contra           YM2151
contrab        machine=contra           YM2151
contraj        machine=contra           YM2151
contrajb       machine=contra           YM2151
cookbib2       machine=hyperpac         YM3812
cosmccop       machine=kengo            YM2151
cotton         machine=s16dummy         YM2151
cottona        machine=s16dummy         YM2151
countryc       machine=athena           YM3526
crazycop       machine=gbusters         YM2151
crimfght       machine=crimfght         YM2151
crimfgt2       machine=crimfght         YM2151
crimfgtj       machine=crimfght         YM2151
crkdown        machine=system24         YM2151
croquis        machine=deniam16b        YM3812
crush          machine=pacman           NAMCO
crush2         machine=pacman           NAMCO
crush3         machine=pacman           NAMCO
csilver        machine=csilver          YM3526
cspring1       machine=sprint           YM2151
csprins1       machine=sprint           YM2151
csprint        machine=sprint           YM2151
csprint1       machine=sprint           YM2151
csprint2       machine=sprint           YM2151
csprintf       machine=sprint           YM2151
csprintg       machine=sprint           YM2151
csprints       machine=sprint           YM2151
ctribe         machine=ctribe           YM2151
ctribeb        machine=ctribe           YM2151
cuebrckj       machine=cuebrckj         YM2151
cuebrick       machine=cuebrick         YM2151
cworld         machine=pang             YM2413
cworld2j       machine=cps1             YM2151
cybattlr       machine=system_C         YM2151
cyberba2       machine=cyberbal         YM2151
cyberbal       machine=cyberbal         YM2151
cyberbap       machine=cyberbal         YM2151
cyberbt        machine=cyberbal         YM2151
cyberbt1       machine=cyberbal         YM2151
daimakai       machine=cps1             YM2151
daisenpu       machine=daisenpu         YM2151
daitorid       machine=daitorid         YM2151
daiyogen       machine=fromance         YM2413
dangar         machine=galivan          YM3526
dangar2        machine=galivan          YM3526
dangarb        machine=galivan          YM3526
darkadv        machine=heavysync        YM2151
darksea1       machine=darkseal         YM2151
darkseaj       machine=darkseal         YM2151
darkseal       machine=darkseal         YM2151
darksel2       machine=wizdfire         YM2151
darktowr       machine=darktowr         YM2151
darwin         machine=darwin           YM3526
dassaul4       machine=dassault         YM2151
dassault       machine=dassault         YM2151
dbreed         machine=dbreed           YM2151
dbz            machine=dbz              YM2151
dbz2           machine=dbz2             YM2151
dcclub         machine=system24         YM2151
ddenlovr       machine=ddenlovr         YM2413
ddragn2u       machine=ddragon2         YM2151
ddrago3b       machine=ddrago3b         YM2151
ddragon        machine=ddragon          YM2151
ddragon2       machine=ddragon2         YM2151
ddragon3       machine=ddragon3         YM2151
ddragonb       machine=ddragonb         YM2151
ddragonu       machine=ddragon          YM2151
ddragonw       machine=ddragon          YM2151
ddribble       machine=ddribble         VLM5030
ddungeon       machine=darktowr         YM2151
dduxbl         machine=dduxbl           YM2151
deathbrd       machine=mutantf          YM2151
demonwl1       machine=demonwld         YM3812
demonwld       machine=demonwld         YM3812
deroon         machine=deroon           YMF262
detatwin       machine=detatwin         YM2151
devilw         machine=heavysync        YM2151
devstor2       machine=devstors         YM2151
devstor3       machine=devstors         YM2151
devstors       machine=devstors         YM2151
digdug         machine=digdug           NAMCO
digdug2        machine=digdug2          NAMCO
digdug2o       machine=digdug2          NAMCO
digduga1       machine=digdug           NAMCO
digdugat       machine=digdug           NAMCO
digdugb        machine=digdug           NAMCO
dino           machine=qsound           YM2151
dinoj          machine=qsound           YM2151
dinou          machine=qsound           YM2151
dkgenm72       machine=dkgenm72         YM2151
dkgensan       machine=hharryu          YM2151
dogyuun        machine=dogyuun          YM2151
dokaben        machine=pang             YM2413
dokyusei       machine=dokyusei         YM2413
dokyusp        machine=dokyusp          YM2413
dragngun       machine=dragngun         YM2151
dremshpr       machine=dremshpr         NAMCO
drgnbstr       machine=skykid           NAMCO
drgninja       machine=baddudes         YM3812
drivfrcp       machine=drivfrcp         NAMCO
dsccr94j       machine=psoldier         YM2151
dsoccr94       machine=dsoccr94         YM2151
dumpmtmt       machine=bodyslam         YM2151
dunkshot       machine=s16dummy         YM2151
dw             machine=cps1             YM2151
dwj            machine=cps1             YM2151
dynablsb       machine=bootleg          YM3812
dynablst       machine=bombrman         YM2151
dzigzag        machine=digdug           NAMCO
earthjkr       machine=galmedes         YM2151
edf            machine=system_B         YM2151
edrandy        machine=edrandy          YM2151
edrandy1       machine=edrandy          YM2151
edrandyj       machine=edrandy          YM2151
eggor          machine=pacman           NAMCO
emeralda       machine=namcona1w        NAMCONA
emerldaa       machine=namcona1w        NAMCONA
esckids        machine=esckids          YM2151
eswat          machine=eswat            YM2151
eswatbl        machine=eswat            YM2151
eto            machine=eto              YM2151
exctleag       machine=s16dummy         YM2151
exprraid       machine=exprraid         YM3526
exterm         machine=exterm           YM2151
exvania        machine=namcona1         NAMCONA
exzisus        machine=exzisus          YM2151
eyes           machine=pacman           NAMCO
eyes2          machine=pacman           NAMCO
f1gpstar       machine=f1gpstar         YM2151
f1gpstr2       machine=f1gpstr2         YM2151
fa             machine=namcona1         NAMCONA
fantland       machine=fantland         YM2151
fantzone       machine=fantzone         YM2151
fantzono       machine=fantzono         YM2151
ffantasa       machine=hippodrm         YM3812
ffantasy       machine=hippodrm         YM3812
ffight         machine=cps1             YM2151
ffightj        machine=cps1             YM2151
ffightj1       machine=cps1             YM2151
ffightu        machine=cps1             YM2151
fghtatck       machine=namcona1         NAMCONA
fghthist       machine=fghthist         YM2151
fghthsta       machine=fghthsta         YM2151
fghthstw       machine=fghthist         YM2151
finalbny       machine=finalbny         YM3812
firebarr       machine=firebarr         YM2151
fireshrk       machine=samesame         YM3812
firetpbl       machine=firetpbl         YM3526
firetrap       machine=firetrap         YM3526
fitegol2       machine=athena           YM3526
fitegolf       machine=athena           YM3526
fixeight       machine=fixeight         YM2151
flkatck        machine=flkatck          YM2151
fncywld        machine=fncywld          YM2151
forgottn       machine=forgottn         YM2151
fpoint         machine=fpoint           YM2151
fpointbj       machine=fpoint           YM2151
fpointbl       machine=fpoint           YM2151
fromance       machine=fromance         YM2413
fround         machine=fround           YM2151
froundl        machine=fround           YM2151
fshark         machine=twincobr         YM3812
fsharkbt       machine=twincobr         YM3812
fstarfrc       machine=fstarfrc         YM2151
ftsoccer       machine=ftsoccer         Y8950
fullthrl       machine=topspeed         YM2151
funkyjet       machine=funkyjet         YM2151
gakusai        machine=gakusai          YM2413
gakusai2       machine=gakusai2         YM2413
gal10ren       machine=gal10ren         YM3812
galaxygn       machine=galaxygn         YM2151
galivan        machine=galivan          YM3526
galivan2       machine=galivan          YM3526
galkaika       machine=galkaika         YM3812
galkoku        machine=galkoku          YM3812
gallop         machine=m72              YM2151
galmedes       machine=galmedes         YM2151
galspnbl       machine=hotpinbl         YM3812
gangwarb       machine=alpha68k_V       YM2413
gangwars       machine=alpha68k_V       YM2413
garuka         machine=devstors         YM2151
garyoret       machine=garyoret         YM3526
gatedom1       machine=darkseal         YM2151
gatedoom       machine=darkseal         YM2151
gaun22p1       machine=gauntlet         YM2151
gaun22pg       machine=gauntlet         YM2151
gaun2pg1       machine=gauntlet         YM2151
gaun2pj2       machine=gauntlet         YM2151
gaun2pr3       machine=gauntlet         YM2151
gaunt2         machine=gauntlet         YM2151
gaunt22p       machine=gauntlet         YM2151
gaunt2g        machine=gauntlet         YM2151
gaunt2p        machine=gauntlet         YM2151
gaunt2pg       machine=gauntlet         YM2151
gaunt2pj       machine=gauntlet         YM2151
gauntg         machine=gauntlet         YM2151
gauntgr3       machine=gauntlet         YM2151
gauntgr6       machine=gauntlet         YM2151
gauntgr8       machine=gauntlet         YM2151
gauntj         machine=gauntlet         YM2151
gauntj12       machine=gauntlet         YM2151
gauntlet       machine=gauntlet         YM2151
gauntr1        machine=gauntlet         YM2151
gauntr2        machine=gauntlet         YM2151
gauntr4        machine=gauntlet         YM2151
gauntr5        machine=gauntlet         YM2151
gauntr7        machine=gauntlet         YM2151
gauntr9        machine=gauntlet         YM2151
gaunts         machine=gauntlet         YM2151
gbusters       machine=gbusters         YM2151
gemini         machine=gemini           YM3812
gensitou       machine=prehisle         YM3812
geostorm       machine=raster           YM2151
gground        machine=system24         YM2151
ghostb         machine=ghostb           YM3812
ghostb3        machine=ghostb           YM3812
ghouls         machine=cps1             YM2151
ghoulsu        machine=cps1             YM2151
ghox           machine=ghox             YM2151
gijoe          machine=gijoe            YM2151
gijoej         machine=gijoe            YM2151
gijoeu         machine=gijoe            YM2151
ginganin       machine=ginganin         Y8950
ginkun         machine=ginkun           YM2151
gionbana       machine=gionbana         YM3812
gogomile       machine=fuuki16          YM3812
gogomilj       machine=fuuki16          YM3812
goldmedb       machine=alpha68k_II_gm   YM2413
goldmedl       machine=alpha68k_II_gm   YM2413
goldnabl       machine=goldnaxe         YM2151
goldnaxa       machine=goldnaxa         YM2151
goldnaxb       machine=goldnaxa         YM2151
goldnaxc       machine=goldnaxa         YM2151
goldnaxe       machine=goldnaxe         YM2151
goldnaxj       machine=goldnaxe         YM2151
gondo          machine=gondo            YM3526
gorkans        machine=pacman           NAMCO
gotcha         machine=gotcha           YM2151
gradius        machine=gx400            VLM5030
gradius2       machine=twin16           YM2151
gradius3       machine=gradius3         YM2151
grdius2a       machine=twin16           YM2151
grdius2b       machine=twin16           YM2151
grdius3a       machine=gradius3         YM2151
grdius3e       machine=gradius3         YM2151
grdnstrm       machine=grdnstrm         YM2151
grindsta       machine=vfive            YM2151
grindstm       machine=vfive            YM2151
grndtour       machine=iqblock          YM2413
grobda         machine=grobda           NAMCO
grobda2        machine=grobda           NAMCO
grobda3        machine=grobda           NAMCO
gryzor         machine=contra           YM2151
gtg2           machine=gtg2             YM3812
gulfwar2       machine=twincobr         YM3812
gundl94        machine=primella         YM2151
gunforc2       machine=raster           YM2151
gunforce       machine=raster           YM2151
gunforcj       machine=raster           YM2151
gunforcu       machine=raster           YM2151
gunhohki       machine=nonraster        YM2151
gussun         machine=m90              YM2151
gwarrior       machine=gx400            VLM5030
hachoo         machine=system_A         YM2151
hanakanz       machine=rongrong         YM2413
hanamomo       machine=hanamomo         YM3812
hanaoji        machine=hanaoji          YM3812
hangly         machine=pacman           NAMCO
hangly2        machine=pacman           NAMCO
hangly3        machine=pacman           NAMCO
hardhea2       machine=hardhea2         YM3812
hardhead       machine=hardhead         YM3812
hardhedb       machine=hardhead         YM3812
hasamu         machine=m90              YM2151
hatena         machine=pang             YM2413
hbarrel        machine=hbarrel          YM3812
hbarrelw       machine=hbarrel          YM3812
hcastle        machine=hcastle          YM3812
hcastlej       machine=hcastle          YM3812
hcastleo       machine=hcastle          YM3812
hcastljo       machine=hcastle          YM3812
hedpanic       machine=hedpanic         YM3812
hellfir1       machine=hellfire         YM3812
hellfire       machine=hellfire         YM3812
hharry         machine=hharry           YM2151
hharryu        machine=hharryu          YM2151
hippodrm       machine=hippodrm         YM3812
hishouza       machine=twincobr         YM3812
hnoridur       machine=hnoridur         YM2413
hook           machine=nonraster        YM2151
hooku          machine=nonraster        YM2151
horekid        machine=amazon           YM3526
horekidb       machine=amazon           YM3526
hotpinbl       machine=hotpinbl         YM3812
hotrod         machine=system24         YM2151
hpolym84       machine=hyperspt         VLM5030
hpuncher       machine=hpuncher         YM2151
hstenn10       machine=hstennis         YM3812
hstennis       machine=hstennis         YM3812
htchctch       machine=htchctch         YM2151
hwchamp        machine=hwchamp          YM2151
hyouban        machine=hyouban          YM3812
hyperpac       machine=hyperpac         YM3812
hyperpcb       machine=hyperpac         YM3812
hyperspt       machine=hyperspt         VLM5030
hyprdelj       machine=hyprduel         YM2151
hyprduel       machine=hyprduel         YM2151
hyprolym       machine=trackfld         VLM5030
hypsptsp       machine=88games          YM2151
iganinju       machine=system_A_iganinju YM2151
ikari          machine=ikari            YM3526
ikari3         machine=ikari3           YM3812
ikarijp        machine=ikari            YM3526
ikarijpb       machine=ikari            YM3526
imekura        machine=imekura          YM3812
imgfight       machine=m72              YM2151
indytem2       machine=atarisy1         YM2151
indytem3       machine=atarisy1         YM2151
indytem4       machine=atarisy1         YM2151
indytemd       machine=atarisy1         YM2151
indytemp       machine=atarisy1         YM2151
inthunt        machine=raster           YM2151
inthuntu       machine=raster           YM2151
iqblock        machine=iqblock          YM2413
jackal         machine=jackal           YM2151
jackalj        machine=jackal           YM2151
jailbrek       machine=jailbrek         VLM5030
jcross         machine=jcross           NAMCO
jitsupro       machine=system_A         YM2151
joemac         machine=cninja           YM2151
joyman         machine=pacman           NAMCO
jrpacman       machine=jrpacman         NAMCO
jumpshot       machine=pacman           NAMCO
jyuohki        machine=altbeast         YM2151
kaiteids       machine=raster           YM2151
karianx        machine=deniam16b        YM3812
karnov         machine=karnov           YM3526
karnovj        machine=karnov           YM3526
kbash          machine=kbash            YM2151
kengo          machine=kengo            YM2151
kickoff        machine=system_A         YM2151
kikcubic       machine=kikcubic         YM2151
kingdmgp       machine=shippumd         YM2151
kittenk        machine=nyanpani         YM3812
knckhead       machine=namcona1         NAMCONA
knckhedj       machine=namcona1         NAMCONA
knights        machine=cps1             YM2151
knightsj       machine=cps1             YM2151
knightsu       machine=cps1             YM2151
kod            machine=cps1             YM2151
kodb           machine=cps1             YM2151
kodj           machine=cps1             YM2151
kodu           machine=cps1             YM2151
kodure         machine=kodure           YM3812
koinomp        machine=koinomp          YM3812
konami88       machine=88games          YM2151
korosuke       machine=pacman           NAMCO
ktiger         machine=twincobr         YM3812
kuhga          machine=vaportra         YM2151
kuniokub       machine=renegade         YM3526
kuniokun       machine=renegade         YM3526
lastmisn       machine=lastmiss         YM3526
lastmsnj       machine=lastmiss         YM3526
lastmsno       machine=lastmiss         YM3526
leaguemn       machine=raster           YM2151
legion         machine=cclimbr2         YM3812
legiono        machine=cclimbr2         YM3812
lemmings       machine=lemmings         YM2151
lethalth       machine=lethalth         YM2151
lgtnfght       machine=lgtnfght         YM2151
liblrabl       machine=toypop           NAMCO
lizwiz         machine=pacman           NAMCO
lockload       machine=lockload         YM2151
loffire        machine=aburner          YM2151
logicpr2       machine=deniam16c        YM3812
logicpro       machine=deniam16b        YM3812
loht           machine=m72              YM2151
lordofk        machine=system_A         YM2151
lostwrld       machine=forgottn         YM2151
madcrash       machine=madcrash         NAMCO
maddonna       machine=maddonna         YM3812
maddonnb       machine=maddonna         YM3812
madmotor       machine=madmotor         YM2151
magicbub       machine=magicbub         YM3812
magix          machine=yunsung8         YM3812
mahmajn        machine=system24         YM2151
mahmajn2       machine=system24         YM2151
mahoudai       machine=mahoudai         YM2151
maiko          machine=maiko            YM3812
mainsnk        machine=mainsnk          NAMCO
majtitl2       machine=raster           YM2151
majtitle       machine=majtitle         YM2151
majuu          machine=heavysync        YM2151
maketrax       machine=pacman           NAMCO
maketrxb       machine=pacman           NAMCO
makyosen       machine=gondo            YM3526
manhatan       machine=jailbrek         VLM5030
maniach        machine=maniach          YM3526
maniach2       machine=maniach          YM3526
mappy          machine=mappy            NAMCO
mappyj         machine=mappy            NAMCO
marble         machine=atarisy1         YM2151
marble2        machine=atarisy1         YM2151
marble3        machine=atarisy1         YM2151
marble4        machine=atarisy1         YM2151
marukin        machine=marukin          YM2413
marvins        machine=marvins          NAMCO
mastkin        machine=mastkin          VLM5030
matchit        machine=shisen           YM2151
mbomberj       machine=qsound           YM2151
mbombrd        machine=qsound           YM2151
mbombrdj       machine=qsound           YM2151
mbrush         machine=pacman           NAMCO
mcnpshnt       machine=mcnpshnt         YM2413
mcontest       machine=mcontest         YM3812
megaman        machine=cps1             YM2151
meikyuh        machine=ghostb           YM3812
mercs          machine=cps1             YM2151
mercsj         machine=cps1             YM2151
mercsu         machine=cps1             YM2151
mercsua        machine=cps1             YM2151
metlclsh       machine=metlclsh         YM3526
metmqstr       machine=metmqstr         YM2151
metrocra       machine=metrocrs         NAMCO
metrocrs       machine=metrocrs         NAMCO
mfunclub       machine=fromance         YM2413
mgakuen        machine=mgakuen          YM2413
mgakuen2       machine=marukin          YM2413
mgmen89        machine=mgmen89          YM3812
mia            machine=mia              YM2151
mia2           machine=mia              YM2151
miaj           machine=mia              YM2151
midres         machine=midres           YM3812
midresj        machine=midres           YM3812
midresu        machine=midres           YM3812
mightguy       machine=mightguy         YM3526
missb2         machine=missb2           YM3526
mjanbari       machine=mjanbari         YM3812
mjangels       machine=yarunara         YM2413
mjdialq2       machine=mjdialq2         YM2413
mjegolf        machine=mjegolf          YM3812
mjfocus        machine=mjfocus          YM3812
mjfocusm       machine=mjfocusm         YM3812
mjfriday       machine=mjfriday         YM2413
mjgottsu       machine=mjgottsu         YM3812
mjkoiura       machine=mjkoiura         YM3812
mjlaman        machine=mjlaman          YM3812
mjleague       machine=mjleague         YM2151
mjlstory       machine=mjlstory         YM3812
mjnanpaa       machine=mjnanpas         YM3812
mjnanpas       machine=mjnanpas         YM3812
mjnanpau       machine=mjnanpas         YM3812
mjnatsu        machine=fromance         YM2413
mjuraden       machine=mjuraden         YM3812
mkeibaou       machine=mkeibaou         YM3812
mladyhtr       machine=mjnanpas         YM3812
mmcamera       machine=mmcamera         YM3812
mmehyou        machine=mmehyou          YM3812
mmpanic        machine=mmpanic          YM2413
mofflott       machine=galmedes         YM2151
moo            machine=moo              YM2151
mooua          machine=moo              YM2151
moremorp       machine=hyperpac         YM3812
motos          machine=motos            NAMCO
mouja          machine=mouja            YM2413
mrheli         machine=m72              YM2151
mrtnt          machine=pacman           NAMCO
mschamp        machine=mschamp          NAMCO
mscoutm        machine=mscoutm          YM3812
msjiken        machine=msjiken          YM3812
mspacmab       machine=pacman           NAMCO
mspacman       machine=mspacman         NAMCO
mspacmat       machine=mspacman         NAMCO
mspacpls       machine=mspacpls         NAMCO
msword         machine=cps1             YM2151
mswordj        machine=cps1             YM2151
mswordr1       machine=cps1             YM2151
mswordu        machine=cps1             YM2151
mtwins         machine=cps1             YM2151
mugsmash       machine=mugsmash         YM2151
multchmp       machine=multchmp         YM3812
mutantf        machine=mutantf          YM2151
mutantfa       machine=mutantf          YM2151
mvp            machine=s16dummy         YM2151
mx5000         machine=flkatck          YM2151
mysticri       machine=nonraster        YM2151
natsuiro       machine=fromance         YM2413
nbbatman       machine=raster           YM2151
neckneck       machine=neckneck         YM3812
nemesis        machine=nemesis          VLM5030
nemesuk        machine=nemesis          VLM5030
nemo           machine=cps1             YM2151
nemoj          machine=cps1             YM2151
nettoqc        machine=nettoqc          YM2413
newpuc2        machine=pacman           NAMCO
newpuc2b       machine=pacman           NAMCO
newpuckx       machine=pacman           NAMCO
ngpgal         machine=ngpgal           YM3812
ninclown       machine=ninclown         YM3812
ninjemak       machine=ninjemak         YM3526
nitrobal       machine=nitrobal         YM2151
niyanpai       machine=niyanpai         YM3812
nkdodgeb       machine=spdodgeb         YM3812
nmaster        machine=metmqstr         YM2151
nmouse         machine=nmouse           NAMCO
nmouseb        machine=nmouse           NAMCO
nmsengen       machine=fromance         YM2413
